id,dv1,dv2,dv3,dv4,dv5,dv6,dv7,dv8,dv9,dv10
396,260291383,21809616,255.844,12,12,0,4,16,0,1
61,714201,1993128,0.743,12,12,0,4,16,0,1
416,352579934,62413224,348.036,9,9,0,4,16,0,0
230,171067052,80431368,168.493,12,12,0,4,16,0,1
176,90118877,46349720,88.212,12,12,0,4,16,0,2
296,195752869,26811864,192.256,12,12,0,4,16,0,2
251,172812090,46094920,170.512,12,12,0,4,16,0,2
495,361701377,85723504,354.298,12,12,0,4,16,0,0
171,88286085,17542232,86.725,12,12,0,4,16,0,2
455,367583778,98060408,363.127,12,12,0,4,16,0,2
153,88399476,34300264,87.455,8,8,0,4,16,0,1
59,858088,1921664,0.902,8,8,0,4,16,0,2
3,834865,1921736,0.858,8,8,0,4,16,0,2
389,276210987,37928360,272.032,9,9,0,4,16,0,0
221,186502441,14503480,182.659,12,12,0,4,16,0,1
412,319444265,42281440,315.285,12,12,0,4,16,0,1
376,255477319,81611160,252.315,12,12,0,4,16,0,2
388,267767880,31414384,264.499,12,12,0,4,16,0,1
492,348206680,46262456,343.719,9,9,0,4,16,0,0
335,252456796,18469312,249.232,12,12,0,4,16,0,1
284,178584813,24793040,176.408,12,12,0,4,16,0,2
366,252243096,22213136,248.793,12,12,0,4,16,0,0
113,90038557,48135528,89.384,12,12,0,4,16,0,1
207,174809683,24543952,172.537,8,8,0,4,16,0,1
97,793665,1549760,0.837,8,8,0,4,16,0,1
439,348181562,60009824,343.499,8,8,0,4,16,0,1
500,343791212,51015808,340.757,12,12,0,4,16,0,1
441,349037322,94754376,345.155,12,12,0,4,16,0,2
13,791532,1981144,0.853,12,12,0,4,16,0,1
164,87325409,28769608,86.308,12,12,0,4,16,0,1
493,356305942,21525408,351.934,8,8,0,4,16,0,1
247,175049576,19894808,172.643,9,9,0,4,16,0,0
74,761087,1544776,0.823,8,8,0,4,16,0,1
349,251642463,6328064,247.718,12,12,0,4,16,0,2
397,252484520,82192944,248.207,12,12,0,4,16,0,1
414,340371165,68852880,336.534,12,12,0,4,16,0,2
194,92211276,53783224,91.348,12,12,0,4,16,0,0
446,310583079,28119184,305.832,12,12,0,4,16,0,1
163,91304788,46238416,90.574,12,12,0,4,16,0,1
451,329826787,17981080,325.122,12,12,0,4,16,0,1
144,90772173,23984304,90.069,8,8,0,4,16,0,1
33,763233,2194256,0.806,8,8,0,4,16,0,1
82,795551,2194328,0.842,8,8,0,4,16,0,1
197,87954839,25404480,87.154,8,8,0,4,16,0,1
94,790879,2132088,0.834,8,8,0,4,16,0,1
222,171449452,61882328,170.0,9,9,0,4,16,0,0
233,169634035,67720184,168.196,9,9,0,4,16,0,0
129,88383305,41976952,87.35,9,9,0,4,16,0,0
205,173177692,83355376,171.002,8,8,0,4,16,0,1
188,86454743,47391536,85.743,8,8,0,4,16,0,1
285,172958581,11092664,170.493,12,12,0,4,16,0,1
87,1058739,1591896,1.089,12,12,0,4,16,0,1
410,360965075,79000664,355.722,12,12,0,4,16,0,2
220,180385575,58724240,177.534,12,12,0,4,16,0,1
315,258541019,33518488,255.626,8,8,0,4,16,0,1
69,881250,1783592,0.926,8,8,0,4,16,0,2
187,89163809,46479296,88.448,12,12,0,4,16,0,0
191,86860368,40023480,86.164,12,12,0,4,16,0,1
51,768582,1689096,0.813,12,12,0,4,16,0,1
405,332801220,35089960,328.152,12,12,0,4,16,0,1
227,163213928,43746032,161.015,12,12,0,4,16,0,1
475,366977368,43919280,361.278,12,12,0,4,16,0,2
147,81359172,19270056,80.697,12,12,0,4,16,0,2
339,268984606,7766336,266.045,9,9,0,4,16,0,0
155,88961619,39098072,88.221,9,9,0,4,16,0,0
477,340128270,77015200,336.343,12,12,0,4,16,0,1
30,896673,1650848,0.942,12,12,0,4,16,0,2
23,779438,1650920,0.821,12,12,0,4,16,0,2
399,252033309,72997496,248.692,12,12,0,4,16,0,1
368,257543955,16225024,253.741,12,12,0,4,16,0,1
393,260884226,3741008,257.604,9,9,0,4,16,0,0
21,695353,1830864,0.729,8,8,0,4,16,0,1
468,349516910,38511480,346.563,8,8,0,4,16,0,2
458,347616591,64286360,343.773,12,12,0,4,16,0,1
314,248810843,59334128,245.669,12,12,0,4,16,0,1
301,268496811,33147064,264.812,8,8,0,4,16,0,1
316,245932479,70723136,243.845,12,12,0,4,16,0,1
395,261826227,37902584,258.926,12,12,0,4,16,0,0
56,930478,1745272,0.977,12,12,0,4,16,0,0
419,335910708,7390392,330.521,12,12,0,4,16,0,2
365,261745549,47875600,258.752,12,12,0,4,16,0,1
482,338891450,35125336,334.027,12,12,0,4,16,0,2
497,348933215,26117304,344.334,12,12,0,4,16,0,0
238,172795470,75882696,171.382,12,12,0,4,16,0,1
179,84212314,41180280,83.384,12,12,0,4,16,0,2
50,871168,1739176,0.915,12,12,0,4,16,0,2
36,894760,1739248,0.941,12,12,0,4,16,0,2
126,87412471,50285976,86.801,9,9,0,4,16,0,0
256,161393151,4773224,159.109,8,8,0,4,16,0,1
8,780430,1574880,0.828,8,8,0,4,16,0,1
282,170634546,35079328,168.489,12,12,0,4,16,0,1
479,345519209,9530056,341.021,12,12,0,4,16,0,0
142,89958559,18330176,89.32,12,12,0,4,16,0,1
398,254447534,68995080,252.273,12,12,0,4,16,0,1
15,710611,2093792,0.745,12,12,0,4,16,0,1
428,333784193,21878016,329.827,12,12,0,4,16,0,1
418,382187254,3889560,376.014,9,9,0,4,16,0,0
353,259290337,49093760,256.441,9,9,0,4,16,0,0
46,796899,1697384,0.842,8,8,0,4,16,0,1
321,248141975,54754216,245.37,12,12,0,4,16,0,1
424,331673791,24966984,326.623,12,12,0,4,16,0,1
84,814702,2512800,0.86,12,12,0,4,16,0,1
499,340635431,57380176,337.239,8,8,0,4,16,0,1
402,344324831,3947280,340.134,12,12,0,4,16,0,1
96,886610,1935856,0.935,12,12,0,4,16,0,2
19,874078,1935472,0.92,12,12,0,4,16,0,2
202,174260471,74033320,172.442,8,8,0,4,16,0,1
204,179995461,11851888,177.727,8,8,0,4,16,0,1
184,88340714,50757000,87.677,8,8,0,4,16,0,2
359,263971005,14691344,260.398,9,9,0,4,16,0,0
413,339293129,66483456,335.057,12,12,0,4,16,0,1
403,340269458,73739624,337.202,12,12,0,4,16,0,2
460,343028479,29458752,339.077,8,8,0,4,16,0,2
457,336378144,64719824,331.834,9,9,0,4,16,0,0
49,889277,1631232,0.933,8,8,0,4,16,0,2
433,355924905,67871696,351.442,8,8,0,4,16,0,1
195,89601420,26649288,88.868,12,12,0,4,16,0,1
158,93212654,36006784,92.151,8,8,0,4,16,0,2
160,84261361,35126176,83.599,8,8,0,4,16,0,1
448,342417737,59937240,338.771,12,12,0,4,16,0,1
287,170155959,17505680,168.12,8,8,0,4,16,0,2
279,186511221,48890280,184.074,12,12,0,4,16,0,2
330,267169836,28140480,263.524,8,8,0,4,16,0,2
28,893917,2031544,0.949,8,8,0,4,16,0,2
35,796803,2031616,0.838,12,12,0,4,16,0,2
436,332244131,47411960,328.358,12,12,0,4,16,0,1
382,277670135,69643976,274.529,9,9,0,4,16,0,0
64,814157,1600496,0.851,8,8,0,4,16,0,1
139,102024662,56779048,99.998,12,12,0,4,16,0,2
186,86473030,58471144,85.799,8,8,0,4,16,0,2
80,541974,1520168,0.564,8,8,0,4,16,0,2
67,789089,1520240,0.833,8,8,0,4,16,0,1
421,345567933,9779024,340.368,12,12,0,4,16,0,0
170,84622175,11817544,83.964,8,8,0,4,16,0,1
22,791965,2369864,0.838,12,12,0,4,16,0,1
168,83617144,15981184,83.009,8,8,0,4,16,0,1
273,171141894,27957392,169.334,12,12,0,4,16,0,1
340,252996394,74647344,250.532,12,12,0,4,16,0,1
267,170529984,74090192,169.114,12,12,0,4,16,0,1
260,181228719,3568936,179.103,8,8,0,4,16,0,1
258,172535656,98595392,170.328,12,12,0,4,16,0,2
182,86327745,29392008,85.588,9,9,0,4,16,0,0
149,88687544,38172008,87.92,8,8,0,4,16,0,2
76,865207,1936024,0.92,8,8,0,4,16,0,2
209,164047889,57772032,162.455,12,12,0,4,16,0,1
343,248093949,37683936,245.176,12,12,0,4,16,0,1
85,884780,1667048,0.919,12,12,0,4,16,0,2
356,268445603,10896608,264.497,9,9,0,4,16,0,0
336,247436788,34270856,244.328,12,12,0,4,16,0,1
417,337962452,52359928,333.565,12,12,0,4,16,0,1
133,81318768,38906552,80.613,12,12,0,4,16,0,2
29,793211,1720448,0.83,12,12,0,4,16,0,2
203,167838567,14268088,165.528,9,9,0,4,16,0,0
54,786530,1604376,0.825,8,8,0,4,16,0,1
110,85702235,56701096,85.058,9,9,0,4,16,0,0
438,331589513,63153496,327.064,12,12,0,4,16,0,1
18,788563,2045232,0.827,12,12,0,4,16,0,1
239,263893027,59654800,252.732,12,12,0,4,16,0,1
462,559060729,3430584,528.207,9,9,0,4,16,0,0
310,254406998,73087664,251.342,12,12,0,4,16,0,1
425,373995588,77609672,369.227,9,9,0,4,16,0,0
106,97027060,21117800,96.206,12,12,0,4,16,0,2
306,240276972,38756640,237.617,12,12,0,4,16,0,2
364,247199277,65159696,244.819,12,12,0,4,16,0,1
108,92421557,38205816,91.52,12,12,0,4,16,0,1
37,881235,1940872,0.92,12,12,0,4,16,0,2
281,164620335,74294088,163.21,8,8,0,4,16,0,1
411,325237555,78625408,321.481,12,12,0,4,16,0,1
217,172687524,38771560,170.503,12,12,0,4,16,0,2
275,167068345,37643328,164.48,12,12,0,4,16,0,2
236,166418057,55813408,164.358,12,12,0,4,16,0,2
135,88071462,6352992,86.483,12,12,0,4,16,0,1
60,765873,1278656,0.799,12,12,0,4,16,0,1
277,170641268,5360352,167.786,12,12,0,4,16,0,1
434,343965713,107212864,340.36,12,12,0,4,16,0,2
361,255374331,65958416,252.686,8,8,0,4,16,0,2
300,176532300,60218160,174.857,9,9,0,4,16,0,0
283,168796699,62717848,167.409,8,8,0,4,16,0,1
103,84431036,36898272,83.724,12,12,0,4,16,0,1
484,314145703,62234336,310.384,8,8,0,4,16,0,1
134,85689190,49225088,85.0,9,9,0,4,16,0,0
387,250816828,14127032,247.251,12,12,0,4,16,0,0
2,802330,1785296,0.84,12,12,0,4,16,0,1
249,172578908,18012944,170.107,8,8,0,4,16,0,2
266,174669463,33357896,172.65,9,9,0,4,16,0,0
44,1129033,1546832,1.16,8,8,0,4,16,0,1
58,893949,1546904,0.931,8,8,0,4,16,0,2
371,269410312,45126984,265.692,12,12,0,4,16,0,2
130,88286808,35997168,87.579,12,12,0,4,16,0,1
72,809294,2029648,0.847,12,12,0,4,16,0,1
276,172552120,66204520,171.135,8,8,0,4,16,0,1
302,246945803,18796376,244.003,12,12,0,4,16,0,2
48,880382,1733256,0.917,12,12,0,4,16,0,2
459,325603410,18177224,321.272,12,12,0,4,16,0,1
152,84742778,42411384,83.832,8,8,0,4,16,0,2
269,164002755,70606456,162.449,12,12,0,4,16,0,1
173,83084383,47316184,82.393,12,12,0,4,16,0,1
192,96106108,53744904,94.69,9,9,0,4,16,0,0
253,174202433,31268424,171.863,12,12,0,4,16,0,1
286,175440193,53072448,173.1,8,8,0,4,16,0,2
381,248244409,24516592,244.491,12,12,0,4,16,0,1
440,332685330,72571160,328.556,12,12,0,4,16,0,2
185,85886185,52802616,85.145,8,8,0,4,16,0,1
299,163998764,22393848,161.594,12,12,0,4,16,0,2
198,91067612,61199824,90.309,8,8,0,4,16,0,1
394,260681336,54629128,257.084,12,12,0,4,16,0,2
375,267267575,23875360,263.565,12,12,0,4,16,0,1
415,310956907,85018760,308.203,12,12,0,4,16,0,1
470,348071376,70983688,343.713,8,8,0,4,16,0,1
255,181844235,35991952,179.754,9,9,0,4,16,0,0
443,318081781,43516872,313.982,12,12,0,4,16,0,2
248,172568560,53051240,170.249,12,12,0,4,16,0,2
407,346126861,61960392,342.482,12,12,0,4,16,0,0
52,797420,1740824,0.835,12,12,0,4,16,0,0
75,861975,1740896,0.898,12,12,0,4,16,0,2
124,87255812,48453256,86.546,8,8,0,4,16,0,2
17,483904,1689208,0.504,8,8,0,4,16,0,1
231,171680532,15594160,169.513,12,12,0,4,16,0,0
483,323831307,41446104,319.466,12,12,0,4,16,0,2
328,253059958,7569464,250.259,8,8,0,4,16,0,1
432,343744445,3333736,339.335,9,9,0,4,16,0,0
190,83839561,48246936,83.21,12,12,0,4,16,0,1
322,243407641,71306000,240.382,8,8,0,4,16,0,1
278,171255634,50740080,169.027,8,8,0,4,16,0,1
89,702776,1654776,0.727,12,12,0,4,16,0,1
102,87731274,50718152,86.954,8,8,0,4,16,0,1
66,1075580,1607840,1.068,8,8,0,4,16,0,1
452,401283861,28644936,391.818,9,9,0,4,16,0,0
326,268052172,9268504,264.339,9,9,0,4,16,0,0
140,89587810,46210568,88.669,9,9,0,4,16,0,0
57,932888,1788496,0.962,12,12,0,4,16,0,0
369,263096053,70567808,259.999,8,8,0,4,16,0,1
